,IRIS,LIBCOM,TYP_IRIS,C16_PMEN_MENSFAM,C16_PMEN_MENHSEUL,C16_PMEN_MENFSEUL,C16_PMEN_MENCOUPSENF,C16_PMEN_MENCOUPAENF,C16_PMEN_MENFAMMONO,C16_PMEN_CS1,C16_PMEN_CS2,C16_PMEN_CS3,C16_PMEN_CS4,C16_PMEN_CS5,C16_PMEN_CS6,C16_PMEN_CS7,C16_PMEN_CS8
293,012830203,Oyonnax,H,53.29057305006772,80.5796376073054,101.0233924721861,394.2408139072269,1058.0353944039375,139.3758056634523,0.0,62.8741959856571,90.8072194950696,174.3309358361575,157.98956210426763,712.8825509666834,514.8809637448634,112.78018897147751
294,012830301,Oyonnax,H,29.82876274198948,186.0685194356689,241.80698998168435,622.6069623146977,1287.0993013558457,192.19725669361014,0.0,92.65003265964494,167.37548710483242,353.62577420877767,363.5550233541136,992.3241786267764,538.1505334794006,51.92676308995083
296,012830303,Oyonnax,H,81.13909854590162,160.3610425125674,209.74794167420896,411.9413362074199,1080.8680061561663,312.6012925936267,0.0,258.56707178755977,151.83227019015405,381.68823905918623,314.8682138345709,705.6723520622986,354.6643570963408,89.36621365978066
297,012830304,Oyonnax,H,26.32833210249365,194.8170634460104,187.8292709201025,547.6876283465418,948.8220041426356,193.9619591277309,0.0,150.08122973454235,111.9320046725344,312.0103865486543,293.00203449538407,843.4134225286947,353.35837243928694,35.64880766641816
298,012830305,Oyonnax,H,8.27668084048437,52.94789483103117,69.23022958095358,500.2700504811593,727.3431458682553,108.83130620773176,13.79446806747395,152.65365281020792,207.12118310174552,279.6510639680106,195.8337222655432,288.9708728804072,319.1257394817456,9.74860523448143
304,012890101,Péronnas,H,20.0,200.0,265.0,790.0,1050.0,370.0,0.0,40.0,290.0,575.0,395.0,620.0,720.0,55.0
305,012890102,Péronnas,H,90.0,200.0,245.0,1155.0,1330.0,265.0,0.0,165.0,555.0,600.0,640.0,430.0,855.0,40.0
361,013540101,Saint-Genis-Pouilly,H,93.65009152779449,164.24575963811756,178.1193311507834,780.6673523255109,2687.990426823384,369.8213955516376,0.0,102.87273208209308,1444.577284863605,1031.204214728495,721.8660057373158,540.2329416271967,416.0472046853977,17.69397329312418
362,013540102,Saint-Genis-Pouilly,H,143.82928240296835,314.9527246176104,265.4095993968627,838.8223317364223,1770.413749229529,352.5995636239156,0.0,140.27375405691427,1086.8256525873785,527.3063211983455,909.9030226655068,612.558352652022,343.93276951622187,65.2273783309191
363,013540103,Saint-Genis-Pouilly,H,231.89307067479552,329.10790325210974,350.3406712038588,727.9628978770836,1837.8645405616844,289.1963887912881,0.0,103.17843634059102,919.6586500178844,623.963326476532,833.1738405462055,748.8358390717102,406.8502056200948,130.7051742878023
432,014270101,Trévoux,H,44.08862510479496,95.14296515197384,63.42864343464924,442.061776157981,1389.32981378161,331.58966326126523,0.0,232.1771232845495,496.661612859773,452.9678919802956,441.3104156421716,429.96197165512194,286.4624281069041,26.10004336345865
433,014270102,Trévoux,H,101.50500461181772,368.9432759782097,418.62904666868496,959.5430639736688,1953.959657548402,605.338228274506,5.28572028622077,240.97461912005264,678.9569658782892,919.5979144186654,645.1424282094113,978.7558563644724,822.7828042178903,116.42196856028713
455,014510101,Viriat,H,9.88481116859398,74.13608376445485,49.4240558429699,484.355747261105,948.941872185022,69.19367818015786,24.71202792148495,108.73292285453378,187.8114122032856,415.1620690809472,227.35065687766155,385.5076355751653,281.7171183049284,4.94240558429699
456,014510102,Viriat,H,79.07848934875184,276.77471272063144,306.42914622641337,1235.6013960742475,2327.873030203882,400.3348523280562,19.76962233718796,291.60192947352243,395.3924467437592,751.2456488131425,1062.6172006238528,958.826683353616,1008.250739196586,138.38735636031572
623,021680101,Château-Thierry,H,77.43585718483035,664.5930745068665,641.4705276785912,787.2678518443767,1287.265542186144,641.7276089188537,9.83485817302366,147.27080656108762,271.921699296733,587.710747637398,927.4495015087946,1086.7962959078611,841.4180989729983,227.35845426176587
624,021680201,Château-Thierry,H,42.36353310476618,193.55237937501323,213.0888421549045,489.815330051131,769.1966715525571,201.4679063868028,5.86795779262588,95.51490418603348,175.77284367809847,314.2229510052751,303.1993018367167,498.86116142514334,431.0106628606082,85.03487984067372
626,021680401,Château-Thierry,H,9.1957141988553,180.53558259469492,242.3123006690564,529.9383313288689,838.3342436204819,242.91127238673567,6.83953841133736,154.15422305730496,170.76145248686328,211.65794784483543,395.9881869073106,579.7726130253486,454.7792544717768,69.27422859391606
627,021680501,Château-Thierry,H,45.60749432107592,112.4239151101466,180.3658790890697,270.265910309766,900.2414647199591,495.81571807309354,0.0,56.68481851747872,32.74492248703072,100.20669006266507,550.9171216786242,804.6813776803668,381.3732519979416,78.11219919900383
628,021680601,Château-Thierry,H,16.73791343501016,116.12631354575196,149.42291222956558,615.2797559414311,674.0712859719448,237.9218567432341,0.0,42.59273351075443,221.80962928893,348.0740656197414,188.99114914315987,305.91590220887394,587.2903520485188,114.88620604695922
629,021680701,Château-Thierry,H,21.44306298427706,73.65621692206108,181.7741120191101,512.2292031540958,1121.534258540136,515.0191306106337,29.58170760135304,54.2348634364889,135.61377462158146,264.988491965235,620.6272560905638,658.0347149071301,506.0119044773239,156.56327113063742
634,021730101,Chauny,H,97.28647055571196,347.281854618971,507.3955617997135,860.5632629830037,1819.2837456110208,824.2653876461848,13.9625425282092,129.02704796201135,177.31148961001264,512.8098758654617,987.8532191880228,1170.5315811584376,982.4088872754662,482.1716396269844
635,021730201,Chauny,H,79.06237125872055,355.9720858546158,569.7159571174228,1092.3091689149642,1673.7261204402166,731.3588839579495,0.0,231.9352990329914,262.32419743255895,594.457999798981,1037.0992907058196,933.91481640259,1109.727450636238,332.6855335347109
636,021730301,Chauny,H,22.82441102341204,248.5288844656662,290.1838581577704,767.7171626451823,1004.3608575866152,303.1517459779502,0.0,153.0184070220532,305.7367676409218,449.8822640029461,591.2069806324678,375.5122516086458,688.9359586446975,72.47429030486413
797,023400101,Gauchy,H,40.26611403311128,107.13379064531976,102.0321815669712,542.6521435796321,820.4015927053468,262.53929353174203,0.0,35.43788425160132,102.95919600713896,341.7561803730871,336.9010183076329,541.1288318206715,432.1377723019685,84.70423300002302
798,023400201,Gauchy,H,14.89750507904067,102.0321815669712,183.65792682054817,562.653955462322,913.6245675398228,390.6152069655038,0.0,117.476213907834,78.54702617527585,471.957831211718,415.8609558936728,370.8813298650992,569.4013339002079,143.35665248040092
799,023400301,Gauchy,H,30.19958552483346,61.21930894018272,142.8450541937597,377.29253137704217,493.7701752487416,130.05571987410744,0.0,0.0,59.9945956829148,102.97523926197633,318.3755200992161,289.4648822334091,439.2007821378272,25.3713557433235
837,023810101,Hirson,H,76.5768128039043,270.57140524046184,387.9891848731151,775.9783697462302,1077.180500108254,602.4042607240472,0.0,91.89217536468516,148.04850475421495,280.7816469476491,658.560590113577,878.0807868181026,791.293732307011,342.0430971907725
838,023810201,Hirson,H,66.36657109671707,193.99459243655755,255.256042679681,525.8274479201428,1046.549774986692,490.09160194498753,10.21024170718724,81.68193365749792,35.73584597515534,311.41237206921085,490.09160194498753,719.8220403567004,556.4581730417045,372.6738223123343
