,IRIS,LIBCOM,TYP_IRIS,P16_POP0014,P16_POP1529,P16_POP3044,P16_POP4559,P16_POP6074,P16_POP75P,C16_POP15P_CS1,C16_POP15P_CS2,C16_POP15P_CS3,C16_POP15P_CS4,C16_POP15P_CS5,C16_POP15P_CS6,C16_POP15P_CS7,C16_POP15P_CS8
205,011940102,Jassans-Riottier,H,445.173719133616,323.39066572259287,422.4676039126615,480.7273674356248,369.5071615640472,157.9892494485835,0.0,102.23347735814716,129.0063186257318,329.7933355735282,227.0684070166909,220.80881951268495,467.599657986149,291.2617068090432
212,012020101,Lagnieu,H,578.0,547.0,591.0,672.0,500.0,242.0,5.0,55.0,185.0,395.0,380.0,430.0,710.0,315.0
213,012020102,Lagnieu,H,765.0,643.0,752.0,741.0,636.0,423.0,5.0,120.0,230.0,440.0,525.0,575.0,860.0,440.0
250,012440101,Meximieux,H,545.3969491181264,547.8179919526872,559.9341772306215,535.7753786716128,366.02455104108526,257.801015366989,0.0,74.99893990963594,275.3156367420631,361.6179526275551,412.0645212788113,235.92625058354955,557.1203469327634,300.0472148217845
251,012440102,Meximieux,H,470.6172160518232,522.1938776635369,398.4620964543025,451.6928409781227,304.1455397669783,234.75080320228653,5.05674734166598,49.88796863712541,135.64108015990777,241.522688154157,281.5069568607414,493.1371600976412,521.6509822104044,264.8023626214726
252,012440103,Meximieux,H,600.9526046753527,415.4159986007699,506.5632621075556,535.69600433694,258.68762666320924,157.0720661180182,0.0,100.11280427720844,225.12422098368077,415.7125505108477,299.6617581272231,225.3452407532079,277.8018052523608,253.35021675984265
257,012490101,Miribel,H,526.4877745785799,467.3413770424977,598.0276293232176,492.43333752259673,308.8879621926817,170.5686629312755,0.0,66.09564927130197,239.20388790939515,498.622450792514,361.5844826378945,269.98236279443285,360.54803135408105,229.42539162478775
258,012490102,Miribel,H,807.856457585461,719.8010472625908,732.3090573041918,886.3831119057196,555.2488024955811,426.9556276205669,0.0,106.9276991890252,259.67268307313776,427.3454927964943,559.4230409370608,412.1984413564047,810.7741294321494,719.5111025264162
259,012490103,Miribel,H,660.4359911511675,547.4522747809549,624.0717550120111,644.600116390771,390.2808320336482,182.85818286648748,30.51297136407675,142.64812563046348,392.2553219787642,427.8271908040476,320.8573103182512,234.366814362476,518.2134824828041,336.53220392145835
269,012620101,Montluel,H,724.0077298933198,557.7046579178518,712.3080178555049,773.5114877888917,455.5831979228711,202.79010166189,15.17686660829905,118.39790766434407,321.19496006090736,588.9615501501826,464.4523598550459,361.810834028995,585.3041585434078,328.5829879166219
270,012620102,Montluel,H,749.8408452400308,729.5685878623862,771.8388415746947,541.6515931110442,415.634010435062,370.5609287364438,9.89744739657307,59.2187641128841,184.4245816120834,390.8570819693508,458.7159329535948,579.2732316971308,774.3984770790962,400.0269067789437
288,012830102,Oyonnax,H,583.9481445468888,384.4722302055481,483.6802074875853,341.3565388317851,317.47803184967506,104.40198971634919,0.0,22.88070551773875,20.05049274792426,105.8427307855228,199.0525106717364,540.1648302369332,358.6157008269874,379.78203062777885
289,012830103,Oyonnax,H,676.0769887514051,523.3862573431405,502.7332199042395,511.8843765331624,442.6734650483104,255.89783154158482,0.0,43.09602128028494,20.91347355829739,157.5369974756646,245.9289751967174,620.8260431680942,567.3403875982997,580.9332520930793
290,012830104,Oyonnax,H,809.9081507891013,451.1462781484027,516.5080190874776,376.0165553334036,282.74862617980244,65.24978361489053,0.0,50.04068855418926,24.75526395490883,65.70297957557837,228.59004148089917,555.982466622133,278.6007082541884,487.99711392208
