,IRIS,LIBCOM,TYP_IRIS,P16_RPMAISON,P16_RPAPPART,P16_RP_LOCHLMV
2225,060300104,Le Cannet,H,117.40119606633628,809.3476204290619,24.24108102374966
2226,060300105,Le Cannet,H,89.33551356306766,1188.8250884699548,3.665548186184557
2227,060300106,Le Cannet,H,264.1843190454214,733.7903074635344,0.0
2228,060300107,Le Cannet,H,216.667053696502,1649.394302269554,132.29611943968962
2229,060300108,Le Cannet,H,269.42218126390134,1444.792376205683,96.9742300906905
2230,060300109,Le Cannet,H,107.41552037732228,866.4301171523463,0.0
2231,060300110,Le Cannet,H,254.1055256110242,1072.6016707916235,63.06209917339206
2232,060300111,Le Cannet,H,137.69994535643983,1097.153057114088,0.0
2233,060300112,Le Cannet,H,143.258968198916,1300.874164139051,2.74972290376974
2234,060300113,Le Cannet,H,118.28819834232016,1427.711760854669,99.00340882832646
2235,060300114,Le Cannet,H,206.031320433374,937.05862805914,140.48405562591637
2236,060300115,Le Cannet,H,192.53118421259876,990.7541401810394,0.0
2237,060300116,Le Cannet,H,216.40045636893552,861.8338910588536,0.0
2238,060300117,Le Cannet,H,348.2739764846286,700.0657526758384,2.80844549989983
2241,060330101,Carros,H,372.63729721854094,466.0478978930584,22.08243595298793
2242,060330102,Carros,H,65.23603222865218,1039.5094309383826,396.3228388510566
2243,060330103,Carros,H,4.999832583425795,650.5546356765316,386.21065414116526
2245,060330105,Carros,H,1203.909078900139,267.0851121955073,0.0
2256,060440101,La Colle-sur-Loup,H,806.4402115090442,75.321314898105,19.0813997741866
2257,060440102,La Colle-sur-Loup,H,774.3031171525193,459.9621629777612,77.3298832953878
2258,060440103,La Colle-sur-Loup,H,807.4444957076856,233.9982182834462,44.1885047402216
2262,060480101,Contes,H,629.6894202974466,513.3773617711668,141.3793125190127
2263,060480102,Contes,H,1394.7420121556502,390.0464721269216,18.04842287476758
